Case 2,,,Case 3,,,Case 4,,,,
Treshold,error,,Treshold,error,,Treshold,error,,,
0.1,0.107666016,,0.1,0.145585726,,0.1,0.430664063,,,
0.01,0.026916504,,0.01,0.057258781,,0.01,0.107666016,,,
0.001,0.006729126,,0.001,0.022378016,,0.001,0.026916504,,,
0.0001,0.001682282,,0.0001,0.010195028,,0.0001,0.006729126,,,
0.00001,0.001682282,,0.00001,0.006242187,,0.00001,0.006729126,,,
0.000001,0.00042057,,0.000001,0.005189005,,0.000001,0.001682282,,,
0.0000001,0.000105143,,0.0000001,0.004925667,,0.0000001,0.00042057,,,
0.00000001,2.63E-05,,0.00000001,0.004861924,,0.00000001,0.000105143,,,
0.000000001,6.57E-06,,0.000000001,0.004848001,,0.000000001,0.000105143,,,
1.00E-10,6.57E-06,,1.00E-10,0.004845702,,1.00E-10,0.000105143,,,
1.00E-11,6.57E-06,,1.00E-11,0.004845523,,1.00E-11,0.000105143,,,
1.00E-12,6.57E-06,,1.00E-12,0.004845523,,1.00E-12,0.000105143,,,